Title,BodyPart,Equipment
partner plank band row,abdominals,bands
banded crunch isometric hold,abdominals,bands
fyr banded plank jack,abdominals,bands
banded crunch,abdominals,bands
crunch,abdominals,bands
decline band press sit-up,abdominals,bands
fyr2 banded frog pump,abdominals,bands
band low-to-high twist,abdominals,bands
barbell roll-out,abdominals,barbell
barbell ab rollout - on knees,abdominals,barbell
decline bar press sit-up,abdominals,barbell
bench barbell roll-out,abdominals,barbell
barbell side bend,abdominals,barbell
seated bar twist,abdominals,barbell
single-arm landmine pull and press,abdominals,barbell
barbell ab roll out - gethin variation,abdominals,barbell
30 barbell floor wiper,abdominals,barbell
30 barbell roll-out,abdominals,barbell
decline plate sit-up,abdominals,barbell
kv barbell hip thrust,abdominals,barbell
advanced kettlebell windmill,abdominals,kettlebells
kettlebell windmill,abdominals,kettlebells
kettlebell pass between the legs,abdominals,kettlebells
kettlebell 3-point leg extension,abdominals,kettlebells
double kettlebell swing,abdominals,kettlebells
burpee over kettlebell,abdominals,kettlebells
kettlebell toe-touch,abdominals,kettlebells
kettlebell swing,abdominals,kettlebells
two-way swing,abdominals,kettlebells
kettlebell crab reach,abdominals,kettlebells
taylor single-arm kettlebell swing,abdominals,kettlebells
holman kettlebell up to elbow down,abdominals,kettlebells
fyr2 double-kettlebell ski,abdominals,kettlebells
fyr2 kettlebell hike,abdominals,kettlebells
fyr2 kettlebell cross-body catch,abdominals,kettlebells
fyr2 kettlebell duck walk,abdominals,kettlebells
fyr2 kettlebell get-up reach,abdominals,kettlebells
fyr2 kettlebell juggle,abdominals,kettlebells
fyr2 squat-clean-alternating-press complex,abdominals,kettlebells
dumbbell v-sit cross jab,abdominals,dumbbell
dumbbell spell caster,abdominals,dumbbell
dumbbell side bend,abdominals,dumbbell
dumbbell crunch,abdominals,dumbbell
dumbbell fix dumbbell sprawl,abdominals,dumbbell
dumbbell fix alternating renegade row,abdominals,dumbbell
dumbbell fix dumbbell mountain climber,abdominals,dumbbell
dumbbell fix dumbbell russian twist,abdominals,dumbbell
dumbbell fix dumbbell pull-over,abdominals,dumbbell
dumbbell fix dumbbell sit-up,abdominals,dumbbell
dumbbell fix dumbbell front squat,abdominals,dumbbell
dumbbell fix full man maker,abdominals,dumbbell
dumbbell t-hold,abdominals,dumbbell
dumbbell hollow-body floor press,abdominals,dumbbell
dumbbell crusher,abdominals,dumbbell
dumbbell crunch - gethin variation,abdominals,dumbbell
single-arm dumbbell crunch,abdominals,dumbbell
hm alternating dumbbell plank row,abdominals,dumbbell
dumbbell straight-legged hip raise,abdominals,dumbbell
seated leg tuck with dumbbell,abdominals,dumbbell
dumbbell v-sit cross jab-,abdominals,dumbbell
30 hanging leg raise with dumbbell,abdominals,dumbbell
dumbbell get-up sit-up,abdominals,dumbbell
holman right side plank with left triceps press,abdominals,dumbbell
holman left side plank with right triceps press,abdominals,dumbbell
holman boat with feet push-out and overhead press,abdominals,dumbbell
holman hovering plank row,abdominals,dumbbell
holman weighted seated killer abs to russian twist,abdominals,dumbbell
holman straight plank dumbbell reach-under,abdominals,dumbbell
holman straight-arm side plank overhead press to chest press,abdominals,dumbbell
